age,bmi,daily_income_inr,children,smoker_tobacco,occupation,tier_city,recommended_policy
56,26.5,1451,1,No,Security Guard,Tier-2,Saral Jeevan Bima (Standard Term)
46,16.8,953,1,No,Delivery Partner (Gig Worker),Tier-2,PMSBY (Accidental Cover - ₹20/year)
32,28.1,1015,3,Yes,Security Guard,Rural,Saral Jeevan Bima (Standard Term)
25,22.8,955,2,Yes,Auto/Taxi Driver,Tier-1,PMSBY (Accidental Cover - ₹20/year)
38,25.5,380,2,Yes,Security Guard,Tier-2,PMJJBY (Life Cover - ₹436/year)
56,28.2,796,0,No,Street Vendor (Rehdi),Tier-2,Micro-Endowment (Chota Bachat)
36,19.2,1378,2,No,Delivery Partner (Gig Worker),Tier-1,PMSBY (Accidental Cover - ₹20/year)
40,21.5,986,1,No,Farmer (Kisan),Tier-2,Saral Jeevan Bima (Standard Term)
28,23.0,826,3,No,Security Guard,Tier-1,Saral Jeevan Bima (Standard Term)
28,21.3,1322,0,No,Street Vendor (Rehdi),Tier-1,Saral Jeevan Bima (Standard Term)
41,30.1,815,3,No,Street Vendor (Rehdi),Rural,Saral Jeevan Bima (Standard Term)
53,21.0,311,2,Yes,Auto/Taxi Driver,Tier-1,PMSBY (Accidental Cover - ₹20/year)
57,22.1,652,2,No,Delivery Partner (Gig Worker),Rural,PMSBY (Accidental Cover - ₹20/year)
41,24.7,955,0,No,Auto/Taxi Driver,Tier-2,PMSBY (Accidental Cover - ₹20/year)
20,19.8,1392,2,No,Farmer (Kisan),Tier-1,Saral Jeevan Bima (Standard Term)
39,22.6,783,3,Yes,Farmer (Kisan),Rural,Gramin Dak Sevak (Rural Postal Life)
19,25.1,338,1,No,Daily Wage Laborer (MNREGA),Tier-1,PMSBY (Accidental Cover - ₹20/year)
41,22.8,430,0,No,Farmer (Kisan),Tier-2,PMJJBY (Life Cover - ₹436/year)
47,23.7,1462,2,No,Delivery Partner (Gig Worker),Rural,PMSBY (Accidental Cover - ₹20/year)
55,22.1,1183,3,No,Small Shopkeeper,Rural,Saral Jeevan Bima (Standard Term)
19,18.7,452,1,No,Small Shopkeeper,Rural,PMJJBY (Life Cover - ₹436/year)
38,25.1,760,2,No,Delivery Partner (Gig Worker),Tier-2,PMSBY (Accidental Cover - ₹20/year)
50,30.1,271,0,Yes,Auto/Taxi Driver,Rural,PMSBY (Accidental Cover - ₹20/year)
29,24.1,1486,2,No,Street Vendor (Rehdi),Tier-2,Saral Jeevan Bima (Standard Term)
39,24.8,421,2,No,Daily Wage Laborer (MNREGA),Tier-2,PMSBY (Accidental Cover - ₹20/year)
42,26.4,1300,2,No,Small Shopkeeper,Tier-1,Saral Jeevan Bima (Standard Term)
44,19.6,261,1,No,Small Shopkeeper,Tier-2,PMJJBY (Life Cover - ₹436/year)
59,30.0,1380,1,No,Farmer (Kisan),Rural,Saral Jeevan Bima (Standard Term)
45,24.7,1005,2,No,Street Vendor (Rehdi),Rural,Saral Jeevan Bima (Standard Term)
33,29.7,324,2,No,Auto/Taxi Driver,Tier-2,PMSBY (Accidental Cover - ₹20/year)
32,21.4,940,0,No,Security Guard,Tier-2,Saral Jeevan Bima (Standard Term)
20,30.4,360,2,No,Daily Wage Laborer (MNREGA),Tier-1,PMSBY (Accidental Cover - ₹20/year)
54,26.7,740,3,No,Delivery Partner (Gig Worker),Tier-1,PMSBY (Accidental Cover - ₹20/year)
24,25.9,825,3,No,Street Vendor (Rehdi),Rural,Saral Jeevan Bima (Standard Term)
38,24.8,305,0,Yes,Auto/Taxi Driver,Tier-2,Micro-Endowment (Chota Bachat)
26,23.1,1354,1,No,Auto/Taxi Driver,Rural,PMSBY (Accidental Cover - ₹20/year)
56,28.2,975,2,No,Daily Wage Laborer (MNREGA),Tier-2,PMSBY (Accidental Cover - ₹20/year)
35,24.5,201,0,No,Daily Wage Laborer (MNREGA),Rural,PMSBY (Accidental Cover - ₹20/year)
21,17.1,432,1,No,Farmer (Kisan),Rural,PMSBY (Accidental Cover - ₹20/year)
42,20.1,568,0,Yes,Farmer (Kisan),Rural,Gramin Dak Sevak (Rural Postal Life)
31,23.3,1474,1,Yes,Delivery Partner (Gig Worker),Tier-2,PMSBY (Accidental Cover - ₹20/year)
26,25.1,1145,2,No,Delivery Partner (Gig Worker),Tier-1,PMSBY (Accidental Cover - ₹20/year)
43,23.8,1331,0,No,Daily Wage Laborer (MNREGA),Tier-1,PMSBY (Accidental Cover - ₹20/year)
19,28.3,1499,2,No,Daily Wage Laborer (MNREGA),Tier-2,PMSBY (Accidental Cover - ₹20/year)
37,17.2,379,0,Yes,Street Vendor (Rehdi),Tier-1,PMJJBY (Life Cover - ₹436/year)
45,24.5,492,1,No,Farmer (Kisan),Rural,PMJJBY (Life Cover - ₹436/year)
24,17.6,783,0,No,Auto/Taxi Driver,Tier-2,PMSBY (Accidental Cover - ₹20/year)
25,26.7,994,3,Yes,Small Shopkeeper,Tier-2,Saral Jeevan Bima (Standard Term)
